x,y
1,0.28063737
2,0.24666524
3,0.20850511
4,0.18447465
5,0.1683348
6,0.15677624
7,0.15034013
8,0.1392811
9,0.13194909
10,0.1267683
11,0.12170238
12,0.11784574
13,0.11502738
14,0.11313563
15,0.10863446
16,0.10522161
17,0.10217549
18,0.09987086
19,0.09812674
20,0.09686936
21,0.09571735
22,0.09353047
23,0.09093541
24,0.08916918
25,0.08773344
26,0.08670891
27,0.08607772
28,0.08491467
29,0.08340707
30,0.08109374
31,0.08013612
32,0.07917418
33,0.0783099
34,0.07782287
35,0.07731018
36,0.07609789
37,0.07444649
38,0.073554
39,0.07270788
40,0.07204609
41,0.07177869
42,0.07122268
43,0.07026675
44,0.06924553
45,0.06844559
46,0.06775827
47,0.06714758
48,0.06696975
49,0.06656933
50,0.06569251
51,0.06489642
52,0.06423323
53,0.06362209
54,0.06323968
55,0.06312284
56,0.06266903
57,0.06214814
58,0.06122416
59,0.06063158
60,0.06023218
61,0.0599577
62,0.05976623
63,0.05950119
64,0.05891344
65,0.05818019
66,0.05767548
67,0.0573511
68,0.0570356
69,0.05701988
70,0.05675761
71,0.05621081
72,0.0555788
73,0.05524793
74,0.05490787
75,0.05456041
76,0.05450897
77,0.05419586
78,0.05376484
79,0.05332727
80,0.05284884
81,0.05260571
82,0.05245872
83,0.05241002
84,0.05224471
85,0.05182862
86,0.05128316
87,0.05099661
88,0.05069702
89,0.05058592
90,0.05049583
91,0.05031794
92,0.05004517
93,0.04945942
94,0.04915651
95,0.0489267
96,0.04875112
97,0.04871454
98,0.0486507
99,0.04818685
100,0.04779706
101,0.04752963
102,0.04742824
103,0.04722594
104,0.04713227
105,0.04690661
106,0.04662968
107,0.04634369
108,0.04604693
109,0.04590319
110,0.04580299
111,0.04580201
112,0.04565352
113,0.04533868
114,0.04499639
115,0.04484144
116,0.04467395
117,0.04451278
118,0.04449079
119,0.04436589
120,0.04413008
121,0.04377331
122,0.04361823
123,0.04343407
124,0.04337182
125,0.0434113
126,0.04328651
127,0.04300973
128,0.04269146
129,0.04248429
130,0.0423731
131,0.04234645
132,0.04232561
133,0.04220498
134,0.0419716
135,0.04173097
136,0.04160282
137,0.04151307
138,0.04130545
139,0.04135586
140,0.04133247
141,0.04108491
142,0.0407724
143,0.0406101
144,0.04048627
145,0.04039489
146,0.04051404
147,0.04046719
148,0.04015002
149,0.03997118
150,0.03978027
151,0.03960223
152,0.03953451
153,0.03956377
154,0.03944417
155,0.03929399
156,0.03907008
157,0.03892789
158,0.03881028
159,0.03873276
160,0.03875198
161,0.03866671
162,0.03847748
163,0.03825101
164,0.03808759
165,0.03796972
166,0.03795778
167,0.0379894
168,0.03778915
169,0.03764836
170,0.03752205
171,0.03739036
172,0.03728524
173,0.03718972
174,0.03717358
175,0.03715683
176,0.03702133
177,0.03686238
178,0.03667622
179,0.03665134
180,0.03663583
181,0.03660476
182,0.03659455
183,0.03647872
184,0.03629415
185,0.03615639
186,0.0360585
187,0.03596817
188,0.03595406
189,0.03590158
190,0.03572992
191,0.03555563
192,0.03538619
193,0.03525112
194,0.03515518
195,0.03519572
196,0.03520029
197,0.035095
198,0.03496955
199,0.0348959
200,0.03484862
201,0.03475958
202,0.03479283
203,0.03473738
204,0.03461618
205,0.03446044
206,0.03430651
207,0.03421903
208,0.03417831
209,0.03420132
210,0.03416084
211,0.03397241
212,0.03372141
213,0.03367775
214,0.03365978
215,0.03362154
216,0.03361645
217,0.03356162
218,0.03335316
219,0.03325748
220,0.03322352
221,0.03317031
222,0.03311098
223,0.03314757
224,0.03312884
225,0.03299971
226,0.03291126
227,0.03286248
228,0.03279965
229,0.0326873
230,0.03266963
231,0.03269572
232,0.03259455
233,0.03243521
234,0.03237084
235,0.03229766
236,0.03233018
237,0.0323438
238,0.03231031
239,0.03218584
240,0.03205884
241,0.03205657
242,0.03200162
243,0.03194333
244,0.03197754
245,0.03192907
246,0.03186396
247,0.03174991
248,0.03164383
249,0.03158205
250,0.03152979
251,0.03158772
252,0.03156729
253,0.03146925
254,0.03139172
255,0.0313552
256,0.03127399
257,0.03121766
258,0.03122296
259,0.03124479
260,0.03117313
261,0.03113373
262,0.03101559
263,0.03086772
264,0.03082219
265,0.03086779
266,0.03092176
267,0.03083342
268,0.03069202
269,0.03065309
270,0.0306262
271,0.03062431
272,0.03070304
273,0.03064365
274,0.03054105
275,0.03048365
276,0.03041878
277,0.03034939
278,0.03035671
279,0.03042166
280,0.0303898
281,0.03030608
282,0.03030465
283,0.03029855
284,0.03019594
285,0.03017961
286,0.03024018
287,0.03024293
288,0.03018902
289,0.03008846
290,0.03006305
291,0.03002648
292,0.0299882
293,0.02998739
294,0.02998885
295,0.02993628
296,0.02986832
297,0.02984673
298,0.02982421
299,0.02980395
300,0.02978096
301,0.02981699
302,0.02979911
303,0.02972001
304,0.02960897
305,0.02965783
306,0.02973761
307,0.02971764
308,0.02964138
309,0.02958335
310,0.02950174
311,0.02947071
312,0.02949505
313,0.02955197
314,0.02957823
315,0.02957681
316,0.02945829
317,0.02940874
318,0.02937094
319,0.0293516
320,0.02939001
321,0.02941886
322,0.02939657
323,0.02931541
324,0.0292489
325,0.02916289
326,0.02912982
327,0.02914365
328,0.02917359
329,0.02918274
330,0.02907758
331,0.02893095
332,0.02895031
333,0.02897434
334,0.0289564
335,0.0289808
336,0.02896145
337,0.02887535
338,0.02885383
339,0.02886873
340,0.02881394
341,0.02876801
342,0.02875442
343,0.02874362
344,0.02865611
345,0.02855271
346,0.02852313
347,0.02858534
348,0.02856915
349,0.02856888
350,0.02856958
351,0.02846535
352,0.02836412
353,0.02832844
354,0.02830067
355,0.02829069
356,0.02832299
357,0.02832871
358,0.02824602
359,0.02821004
360,0.02825515
361,0.02818816
362,0.02819016
363,0.02824034
364,0.02824184
365,0.02804957
